Name,POS,Age,Exp,College,team
JaQuae Jackson,WR,26,2,Rutgers; California (PA),LAC
Jerand Bradley,WR,23,0,--,LAC
KeAndre Lambert-Smith,WR,24,1,Auburn; Penn State,LAC
Keenan Allen,WR,34,13,California,LAC
Ladd McConkey,WR,24,2,Georgia,LAC
Luke Grimm,WR,24,1,Kansas,LAC
Quentin Johnston,WR,24,3,TCU,LAC
Tre Harris,WR,24,1,Mississippi; Louisiana Tech,LAC
Aidan O'Connell,QB,27,3,Purdue,LV
Kirk Cousins,QB,37,14,Michigan State,LV
Ashton Jeanty,RB,22,1,Boise State,LV
Chris Collier,RB,26,2,University of Lock Haven,LV
Connor Heyward,RB,27,4,Michigan State,LV
Dylan Laube,RB,26,2,New Hampshire,LV
Raheem Mostert,RB,34,11,Purdue,LV
Zamir White,RB,26,4,Georgia,LV
Albert Okwuegbunam,TE,28,6,Missouri,LV
Brock Bowers,TE,23,2,Georgia,LV
Carter Runyon,TE,24,1,Towson; Shenandoah University,LV
Ian Thomas,TE,29,8,Indiana; Nassau CC,LV
Justin Shorter,TE,26,3,Florida; Penn State,LV
Michael Mayer,TE,24,3,Notre Dame,LV
Alex Bachman,WR,29,7,Wake Forest,LV
Brenden Rice,WR,24,2,USC; Colorado,LV
Dareke Young,WR,26,4,Lenoir Rhyne,LV
Dont'e Thornton Jr.,WR,23,1,Tennessee; Oregon,LV
Jack Bech,WR,23,1,TCU; LSU,LV
Jalen Nailor,WR,27,4,Michigan State,LV
Jonathan Brady,WR,22,0,--,LV
Phillip Dorsett,WR,33,11,Miami,LV
Shedrick Jackson,WR,26,3,Auburn,LV
Tre Tucker,WR,25,3,Cincinnati,LV
Tyler Lockett,WR,33,11,Kansas State,LV
Cam Miller,QB,24,1,North Dakota State,MIA
Malik Willis,QB,26,4,Liberty; Auburn,MIA
Quinn Ewers,QB,23,1,Texas; Ohio State,MIA
Alexander Mattison,RB,27,7,Boise State,MIA
Anthony Hankerson,RB,22,0,--,MIA
De'Von Achane,RB,24,3,Texas A&M,MIA
Donovan Edwards,RB,23,1,Michigan,MIA
Jaylen Wright,RB,23,2,Tennessee,MIA
Ollie Gordon II,RB,22,1,Oklahoma State,MIA
Ben Sims,TE,25,3,Baylor,MIA
Cole Turner,TE,26,4,Nevada,MIA
Darren Waller,TE,33,11,Georgia Tech,MIA
Greg Dulcich,TE,26,4,UCLA,MIA
Jalin Conyers,TE,24,1,Texas Tech; Arizona State; Oklahoma,MIA
A.J. Henning,WR,24,1,Northwestern; Michigan,MIA
Cedrick Wilson Jr.,WR,30,8,Boise State; Coffeyville CC,MIA
Dee Eskridge,WR,29,5,Western Michigan,MIA
Jalen Tolbert,WR,27,4,South Alabama,MIA
Malik Washington,WR,25,2,Virginia; Northwestern,MIA
Tahj Washington,WR,24,2,USC; Memphis,MIA
Terrace Marshall Jr.,WR,25,5,LSU,MIA
Theo Wease Jr.,WR,24,1,Missouri; Oklahoma,MIA
Tutu Atwell,WR,26,5,Louisville,MIA
Tyreek Hill,WR,32,10,West Alabama; Garden City CC; Oklahoma State,MIA
Brett Rypien,QB,29,7,Boise State,MIN
Carson Wentz,QB,33,10,North Dakota State,MIN
J.J. McCarthy,QB,23,2,Michigan,MIN
John Wolford,QB,30,7,Wake Forest,MIN
Kyler Murray,QB,28,7,Oklahoma; Texas A&M,MIN
Max Brosmer,QB,25,1,Minnesota; New Hampshire,MIN
Aaron Jones,RB,31,9,Texas-El Paso,MIN
Jordan Mason,RB,26,4,Georgia Tech,MIN
Ben Yurosek,TE,24,1,Georgia; Stanford,MIN
Bryson Nesbit,TE,23,1,North Carolina,MIN
Gavin Bartholomew,TE,23,1,Pittsburgh,MIN
Josh Oliver,TE,29,7,San Jose State,MIN
T.J. Hockenson,TE,28,7,Iowa,MIN
Dontae Fleming,WR,24,1,Tulane,MIN
Jeshaun Jones,WR,26,2,Maryland,MIN
Joaquin Davis,WR,23,1,North Carolina Central,MIN
Jordan Addison,WR,24,3,USC; Pittsburgh,MIN
Justin Jefferson,WR,26,6,LSU,MIN
Marcus Sanders Jr.,WR,,0,--,MIN
Myles Price,WR,24,1,Indiana; Texas Tech,MIN
Tai Felton,WR,23,1,Maryland,MIN
Zavier Scott,WR,26,3,Maine,MIN
Drake Maye,QB,23,2,North Carolina,NE
Joshua Dobbs,QB,31,9,Tennessee,NE
Tommy DeVito,QB,27,3,Illinois; Syracuse,NE
Antonio Gibson,RB,27,6,Memphis; East Central JC,NE
Brock Lampe,RB,23,1,Northern Illinois,NE
D'Ernest Johnson,RB,30,7,University of South Florida,NE
Deneric Prince,RB,26,3,Tulsa; Texas A&M,NE
Elijah Mitchell,RB,28,5,Louisiana-Lafayette,NE
Lan Larison,RB,24,1,UC Davis,NE
