"","Name","POS","Age","Exp","College","team"
"297","Marvin Jones Jr.","WR",33,12,"California","DET"
"298","Tom Kennedy","WR",27,3,"Bryant University","DET"
"299","Denzel Mims","WR",25,4,"Baylor","DET"
"300","Trey Quinn","WR",27,3,"SMU","DET"
"301","Kalif Raymond","WR",29,7,"Holy Cross","DET"
"302","Josh Reynolds","WR",28,7,"Texas A&M","DET"
"303","Amon-Ra St. Brown","WR",23,3,"USC","DET"
"304","Jameson Williams","WR",22,2,"Alabama","DET"
"305","Darrell Daniels","TE",28,6,"Washington","DET"
"306","Daniel Helm","TE",28,3,"Duke","DET"
"307","Sam LaPorta","TE",22,0,"Iowa","DET"
"308","James Mitchell","TE",24,2,"Virginia Tech","DET"
"309","Brock Wright","TE",24,3,"Notre Dame","DET"
"310","Shane Zylstra","TE",26,2,"Minnesota State-Mankato","DET"
"311","Sean Clifford","QB",25,0,"Penn State","GB"
"312","Jordan Love","QB",24,4,"Utah State","GB"
"313","Alex McGough","QB",27,1,"Florida International","GB"
"314","AJ Dillon","RB",25,4,"Boston College","GB"
"315","Tyler Goodson","RB",22,1,"Iowa","GB"
"316","Aaron Jones","RB",28,7,"UTEP","GB"
"317","Nate McCrary","RB",24,1,"Saginaw Valley","GB"
"318","Lew Nichols","RB",21,0,"Central Michigan","GB"
"319","Patrick Taylor","RB",25,3,"Memphis","GB"
"320","Emanuel Wilson","RB",24,0,"--","GB"
"321","Jadakis Bonds","WR",23,0,"Hampton","GB"
"322","Cody Chrest","WR",NA,0,"Sam Houston State","GB"
"323","Romeo Doubs","WR",23,2,"Nevada","GB"
"324","Grant DuBose","WR",22,0,"Charlotte","GB"
"325","Malik Heath","WR",23,0,"Ole Miss","GB"
"326","Bo Melton","WR",24,1,"Rutgers","GB"
"327","Dre Miller","WR",25,1,"Maine","GB"
"328","Jayden Reed","WR",23,0,"Michigan State","GB"
"329","Samori Toure","WR",25,2,"Nebraska","GB"
"330","Christian Watson","WR",24,2,"North Dakota State","GB"
"331","Duece Watts","WR",23,0,"Tulane","GB"
"332","Dontayvion Wicks","WR",22,0,"Virginia","GB"
"333","Austin Allen","TE",24,1,"Nebraska","GB"
"334","Tyler Davis","TE",26,4,"Georgia Tech","GB"
"335","Josiah Deguara","TE",26,4,"Cincinnati","GB"
"336","Tucker Kraft","TE",22,0,"South Dakota State","GB"
"337","Luke Musgrave","TE",22,0,"Oregon State","GB"
"338","Case Keenum","QB",35,11,"Houston","HOU"
"339","Davis Mills","QB",24,3,"Stanford","HOU"
"340","C.J. Stroud","QB",21,0,"Ohio State","HOU"
"341","Mike Boone","RB",28,6,"Cincinnati","HOU"
"342","Gerrid Doaks","RB",25,1,"Cincinnati","HOU"
"343","Dare Ogunbowale","RB",29,5,"Wisconsin","HOU"
"344","Dameon Pierce","RB",23,2,"Florida","HOU"
"345","Devin Singletary","RB",25,5,"Florida Atlantic","HOU"
"346","Xazavian Valladay","RB",25,0,"Arizona State","HOU"
"347","Alex Bachman","WR",27,1,"Wake Forest","HOU"
"348","Noah Brown","WR",27,7,"Ohio State","HOU"
"349","Jalen Camp","WR",25,1,"Georgia Tech","HOU"
"350","Nico Collins","WR",24,3,"Michigan","HOU"
"351","Tank Dell","WR",23,0,"Houston","HOU"
"352","Xavier Hutchinson","WR",23,0,"Iowa State","HOU"
"353","Johnny Johnson III","WR",24,1,"Oregon","HOU"
"354","Jesse Matthews","WR",24,0,"San Diego State","HOU"
"355","John Metchie III","WR",23,1,"Alabama","HOU"
"356","Steven Sims","WR",26,4,"Kansas","HOU"
"357","Jared Wayne","WR",22,0,"Pittsburgh","HOU"
"358","Robert Woods","WR",31,11,"USC","HOU"
"359","Brevin Jordan","TE",23,3,"Miami","HOU"
"360","Dalton Keene","TE",24,2,"Virginia Tech","HOU"
"361","Jordan Murray","TE",23,0,"Hawai'i'","HOU"
"362","Teagan Quitoriano","TE",23,2,"Oregon State","HOU"
"363","Mason Schreck","TE",29,4,"Buffalo","HOU"
"364","Dalton Schultz","TE",27,6,"Stanford","HOU"
"365","Eric Tomlinson","TE",31,8,"UTEP","HOU"
"366","Nick Vannett","TE",30,8,"Ohio State","HOU"
"367","Sam Ehlinger","QB",24,3,"Texas","IND"
"368","Gardner Minshew","QB",27,5,"Washington State","IND"
"369","Anthony Richardson","QB",21,0,"Florida","IND"
"370","Kenyan Drake","RB",29,8,"Alabama","IND"
"371","Jake Funk","RB",25,3,"Maryland","IND"
"372","Evan Hull","RB",22,0,"Northwestern","IND"
"373","Jason Huntley","RB",25,2,"New Mexico State","IND"
"374","Deon Jackson","RB",24,3,"Duke","IND"
"375","Zack Moss","RB",25,4,"Utah","IND"
"376","Zavier Scott","RB",24,0,"Maine","IND"
"377","Jonathan Taylor","RB",24,4,"Wisconsin","IND"
"378","Kody Case","WR",24,0,"Illinois","IND"
"379","Josh Downs","WR",22,0,"North Carolina","IND"
"380","Ashton Dulin","WR",26,5,"Malone University","IND"
"381","Isaiah McKenzie","WR",28,7,"Georgia","IND"
"382","Breshad Perriman","WR",29,9,"UCF","IND"
"383","Alec Pierce","WR",23,2,"Cincinnati","IND"
"384","Michael Pittman Jr.","WR",25,4,"USC","IND"
"385","Amari Rodgers","WR",23,3,"Clemson","IND"
"386","Vyncint Smith","WR",27,4,"Limestone","IND"
"387","Mike Strachan","WR",25,3,"University of Charleston (WV)","IND"
"388","Malik Turner","WR",27,5,"Illinois","IND"
"389","Juwann Winfree","WR",26,3,"Colorado","IND"
"390","Mo Alie-Cox","TE",29,6,"VCU","IND"
"391","Pharaoh Brown","TE",29,6,"Oregon","IND"
"392","Nick Eubanks","TE",26,2,"Michigan","IND"
"393","Kylen Granson","TE",25,3,"SMU","IND"
"394","Michael Jacobson","TE",26,1,"Iowa State","IND"
"395","Will Mallory","TE",24,0,"Miami","IND"
"396","Andrew Ogletree","TE",25,2,"Youngstown State","IND"
"397","La'Michael Pettway","TE",26,1,"Iowa State","IND"
"398","Ricky Seals-Jones","TE",28,6,"Texas A&M","IND"
"399","Jelani Woods","TE",24,2,"Virginia","IND"
"400","C.J. Beathard","QB",29,7,"Iowa","JAX"
"401","Trevor Lawrence","QB",23,3,"Clemson","JAX"
"402","Nathan Rourke","QB",25,0,"Ohio","JAX"
"403","Tank Bigsby","RB",21,0,"Auburn","JAX"
"404","Snoop Conner","RB",23,2,"Ole Miss","JAX"
"405","Travis Etienne Jr.","RB",24,3,"Clemson","JAX"
"406","JaMycal Hasty","RB",26,4,"Baylor","JAX"
"407","D'Ernest Johnson","RB",27,5,"South Florida","JAX"
"408","Qadree Ollison","RB",26,4,"Pittsburgh","JAX"
"409","Jamal Agnew","WR",28,7,"San Diego","JAX"
"410","Kevin Austin Jr.","WR",23,1,"Notre Dame","JAX"
"411","Elijah Cooks","WR",24,0,"San Jose State","JAX"
"412","Jacob Harris","WR",26,3,"UCF","JAX"
"413","Jaray Jenkins","WR",23,0,"LSU","JAX"
