player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
A.Kamara,NO,RB,14,0.0,0.0,0.0,0.0,0.0,228.0,950.0,6.0,89.0,68.0,543.0,2.0,0.0,0.0,265.3,,4.166666666666667,7.985294117647059,,
C.Edwards-Helaire,NO,RB,2,0.0,0.0,0.0,0.0,0.0,13.0,46.0,0.0,5.0,3.0,24.0,0.0,0.0,0.0,10.0,,3.5384615384615383,8.0,,
J.Mims,NO,RB,7,0.0,0.0,0.0,0.0,0.0,20.0,70.0,0.0,18.0,12.0,71.0,0.0,0.0,0.0,26.099999999999998,,3.5,5.916666666666667,,
J.Williams,NO,RB,13,0.0,0.0,0.0,0.0,0.0,48.0,164.0,1.0,11.0,9.0,57.0,0.0,0.0,0.0,37.1,,3.4166666666666665,6.333333333333333,,
K.Miller,NO,RB,6,0.0,0.0,0.0,0.0,0.0,39.0,148.0,1.0,8.0,5.0,33.0,0.0,0.0,0.0,29.099999999999998,,3.7948717948717947,6.6,,
D.Holker,NO,TE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,21.0,0.0,0.0,0.0,5.1,,,7.0,,
F.Moreau,NO,TE,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32.0,413.0,5.0,0.0,0.0,103.3,,,12.90625,,
J.Johnson,NO,TE,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.0,548.0,3.0,0.0,0.0,122.8,,,10.96,,
T.Hill,NO,TE,8,4.0,2.0,21.0,0.0,1.0,39.0,278.0,6.0,31.0,23.0,187.0,0.0,0.0,0.0,102.34,7.75,7.128205128205129,8.130434782608695,0.5,0.0
B.Means,NO,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,118.0,1.0,0.0,0.0,26.8,,,13.11111111111111,,
C.Olave,NO,WR,8,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,44.0,32.0,400.0,1.0,0.0,0.0,76.7,,7.0,12.5,,
C.Wilson,NO,WR,10,1.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,27.0,20.0,211.0,1.0,0.0,0.0,51.94,27.0,,10.55,1.0,1.0
D.Pettis,NO,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,120.0,1.0,0.0,1.0,32.0,,,10.0,,
J.Jackson,NO,WR,1,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,,-1.0,,,
K.Austin,NO,WR,8,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,22.0,11.0,151.0,0.0,0.0,0.0,27.0,,9.0,13.727272727272727,,
M.Tipton,NO,WR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,99.0,0.0,0.0,0.0,23.9,,,7.071428571428571,,
M.Valdes-Scantling,NO,WR,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,35.0,17.0,385.0,4.0,0.0,0.0,79.89999999999999,,4.0,22.647058823529413,,
R.Shaheed,NO,WR,6,0.0,0.0,0.0,0.0,0.0,6.0,29.0,0.0,41.0,20.0,349.0,3.0,0.0,0.0,81.8,,4.833333333333333,17.45,,
D.Jones,NYG,QB,10,341.0,216.0,2070.0,8.0,7.0,67.0,265.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,135.3,0.0,3.955223880597015,,0.6334310850439883,0.02346041055718475
D.Lock,NYG,QB,7,181.0,107.0,1071.0,6.0,5.0,18.0,133.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,80.14,0.0,7.388888888888889,,0.5911602209944752,0.03314917127071823
T.Boyle,NYG,QB,1,24.0,12.0,123.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,0.0,-1.0,,0.5,0.041666666666666664
T.DeVito,NYG,QB,2,44.0,31.0,257.0,0.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.48,0.0,4.0,,0.7045454545454546,0.0
D.Singletary,NYG,RB,15,0.0,0.0,0.0,0.0,0.0,113.0,437.0,4.0,24.0,21.0,119.0,0.0,2.0,0.0,96.6,,3.8672566371681416,5.666666666666667,,
E.Gray,NYG,RB,10,0.0,0.0,0.0,0.0,0.0,14.0,31.0,0.0,11.0,10.0,82.0,0.0,1.0,0.0,19.3,,2.2142857142857144,8.2,,
T.Tracy,NYG,RB,17,0.0,0.0,0.0,0.0,0.0,192.0,839.0,5.0,53.0,38.0,284.0,1.0,2.0,0.0,182.3,,4.369791666666667,7.473684210526316,,
C.Manhertz,NYG,TE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,30.0,1.0,0.0,0.0,12.0,,,10.0,,
D.Bellinger,NYG,TE,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,125.0,0.0,0.0,0.0,26.5,,,8.928571428571429,,
T.Johnson,NYG,TE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,29.0,331.0,1.0,0.0,0.0,68.1,,,11.413793103448276,,
