"","player_name","recent_team","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","tgt","rec","rec_yd","rec_td","fmb","tp_c","f_ppr","tgt_share","ypc","ypr","cmp_pct","td_rate"
"39","D.London","ATL","WR",17,0,0,0,0,0,0,0,0,117,72,866,4,0,0,178.6,0.176470588235294,NA,12.0277777777778,NA,NA
"40","F.Darby","ATL","WR",1,0,0,0,0,0,0,0,0,1,1,15,0,0,0,2.5,0.00150829562594268,NA,15,NA,NA
"41","J.Ali","ATL","WR",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00150829562594268,NA,NA,NA,NA
"42","K.Hodge","ATL","WR",9,0,0,0,0,0,0,0,0,20,13,202,1,0,0,41.2,0.0301659125188537,NA,15.5384615384615,NA,NA
"43","O.Zaccheaus","ATL","WR",16,0,0,0,0,0,2,7,0,61,40,533,3,0,0,110,0.0920060331825038,3.5,13.325,NA,NA
"44","P.Ricard","BAL","FB",12,0,0,0,0,0,7,16,0,13,11,74,0,0,0,20,0.0313253012048193,2.28571428571429,6.72727272727273,NA,NA
"45","A.Brown","BAL","QB",2,49,22,302,0,2,3,-5,0,0,0,0,0,1,0,5.58,0,-1.66666666666667,NA,0.448979591836735,0
"46","L.Jackson","BAL","QB",12,326,203,2242,17,7,112,764,3,0,0,0,0,2,1,236.08,0,6.82142857142857,NA,0.622699386503067,0.0521472392638037
"47","T.Huntley","BAL","QB",5,112,75,658,2,3,43,137,1,0,0,0,0,0,1,50.02,0,3.18604651162791,NA,0.669642857142857,0.0178571428571429
"48","G.Edwards","BAL","RB",9,0,0,0,0,0,87,433,3,2,0,0,0,1,0,59.3,0.00481927710843374,4.97701149425287,NA,NA,NA
"49","J.Dobbins","BAL","RB",8,0,0,0,0,0,92,520,2,8,7,42,1,0,0,81.2,0.0192771084337349,5.65217391304348,6,NA,NA
"50","J.Hill","BAL","RB",13,0,0,0,0,0,49,262,0,12,12,58,0,1,0,42,0.0289156626506024,5.3469387755102,4.83333333333333,NA,NA
"51","K.Drake","BAL","RB",12,0,0,0,0,0,109,482,4,26,17,89,1,0,0,104.1,0.0626506024096386,4.42201834862385,5.23529411764706,NA,NA
